Catégorie;Code;Dénomination;Unité;Déboursé HT (€);Note
"Revêtement mural";"Revêtements mural";"Pose d'un carrelage murale compris encollage et jointement et primaire d'étanchéité pour SDB et WC";"F";"1745";""
"Revêtement mural";"";"Ratissage en 2 passes des supports à l'enduit fin, Ponçage";"m²";"15.2";""
"Ravalement";"";"Fourniture et pose d'agrafes";"F";"1390";""
"Ravalement";"";"Lavage avec jet à haute pression";"m²";"3.5";""
"Ravalement";"";"Mise en œuvre de baguette d'angle de finition";"F";"845";""
"Ravalement";"";"Ouverture des fissures";"F";"924";""
"Ravalement";"";"Préparation, application 2 couches de peinture mat façade, couleur approchante";"m²";"21";""
"Ravalement";"";"Préparation, application d'une couche de fixateur";"m²";"14";""
"Ravalement";"";"Réalisation de peinture appuis en terre cuite";"U";"95";""
"Ravalement";"";"Réalisation de peinture sous le porche RAL enduit";"F";"575";""
"Ravalement";"";"Réalisation d'un enduit monocouche finition gratté sur maison";"m²";"40";""
"Ravalement";"";"Rebouchage des fissures au mortier fibré de réparation";"F";"875";""
"Zinguerie";"";"Fourniture et pose de descente Alu diam 100";"ML";"30";""
"Zinguerie";"";"Fourniture et pose de gouttières Alu diam 100";"ML";"30";""
"Zinguerie";"";"Réalisation de couloir zinc au droit de la cheminée";"F";"385";""
"Initial";"Initiale";"Installation, amené et repli du matériels";"F";"650";""
"Initial";"Initiale";"Préparation chantier - Amené et repli du matériels - Déplacement - Etude d'exécution";"F";"350";""
"Initial";"Initial ";"Réalisation de plans d'exécution";"F";"5000";""
"Serrurerie";"";"Approvisionnement IPE";"F";"50";""
"Serrurerie";"";"Fourniture cornière pour IPE sur mesure";"U";"49";""
"Serrurerie";"";"Fourniture et pose de ratelier à vélo pour 5 emplacements en acier galvanisé compris toutes sujétions de fixation au sol";"U";"3";""
"Serrurerie";"";"Fourniture IPE 140 6 ml";"U";"114";""
"Serrurerie";"";"Pose cornière IPE sous plancher suivant plan implantation";"F";"494.1";""
"Clôture";"Cloture";"Fourniture et pose de chapeau plat béton";"ML";"52";""
"Clôture";"Cloture";"Fourniture et pose de lattes d'occultation en composite en remplissage des panneaux rigides, ht=1.73 m";"ml";"110";""
